EdgeRTUId,RTUCode,EdgeRTUName,StationCode,StationName,RegionCode,RegionName,OrgCode,OrgName,DeviceId,DeviceCode,DeviceName,DeviceDisplayName,DeviceRole,DeviceSensorId,SensorCode,SensorName,SensorDescription,DataUnitCode,DataTypeCode,DataCategoryCode,SensorTypeCode,DataKey,SuggestedBmsPointKey,SensorActiveFlag,DeviceActiveFlag
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,54,AIRSP1051M-000000014,DEVICE - O-000018 - AIRSP1051M-000000014,Airsprint-1051M,solar_edge_controller,291,BC,Battery Charge,Battery Charge,NA,DECIMAL,ELEC,TELE,batt_volt,battery_charge_pct,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,54,AIRSP1051M-000000014,DEVICE - O-000018 - AIRSP1051M-000000014,Airsprint-1051M,solar_edge_controller,290,CPS,Controller Power Status,Controller Power Status,NA,BINARY,NA,TELE,pwr_stat,controller_power_status,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,54,AIRSP1051M-000000014,DEVICE - O-000018 - AIRSP1051M-000000014,Airsprint-1051M,solar_edge_controller,289,NS,Network Strength,Network Strength,NA,INT,NA,TELE,rssi,network_strength,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,54,AIRSP1051M-000000014,DEVICE - O-000018 - AIRSP1051M-000000014,Airsprint-1051M,solar_edge_controller,288,TS,TimeStamp,TimeStamp,NA,TS,NA,TELE,ts,ts,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,304,APF,Average Power Factor,Average Power Factor,NA,DECIMAL,ELEC,TELE,s08_r01,pf,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,297,APV,Average Phase Voltage,Average Phase Voltage,V,INT,ELEC,TELE,s01_r01,voltage_l1_v,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,305,FR,Frequency,Frequency,Hz,DECIMAL,ELEC,TELE,s08_r02,frequency_hz,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,303,IB,IB,IB,A,FLOAT,ELEC,TELE,s07_r01,current_a,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,301,IR,IR,IR,A,FLOAT,ELEC,TELE,s05_r01,current_a,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,302,IY,IY,IY,A,FLOAT,ELEC,TELE,s06_r01,current_a,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,307,TKVA,Total kVA,Total kVA,kVA,DECIMAL,ELEC,TELE,s10_r01,tkva,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,308,TKVAR,Total kVAr,Total kVAr,kVAr,DECIMAL,ELEC,TELE,s11_r01,tkvar,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,306,TKW,Total kW,Total kW,kW,DECIMAL,ELEC,TELE,s09_r01,kw,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,309,TKWH,Total Kwh,Total Kwh,kWh,DECIMAL,ELEC,TELE,s12_r01,kwh_today,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,312,VBN,V-B-N,V-B-N,V,INT,ELEC,TELE,s15_r01,vbn,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,300,VBR,VBR,VBR,V,INT,ELEC,TELE,s04_r01,vbr,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,310,VRN,V-R-N,V-R-N,V,INT,ELEC,TELE,s13_r01,vrn,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,298,VRY,VRY,VRY,V,INT,ELEC,TELE,s02_r01,vry,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,299,VYB,VYB,VYB,V,INT,ELEC,TELE,s03_r01,vyb,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,DEVICE - O-000018 - MFM-000000014,Multi Function Meter,electrical_meter,311,VYN,V-Y-N,V-Y-N,V,INT,ELEC,TELE,s14_r01,vyn,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,59,PUMP-C-000000014,DEVICE - O-000018 - PUMP-C-000000014,Chlorine Pump,chlorine_pump,296,CPMP_ONOFF,CHLORINE PUMP ONOFF,Pump On/Off Status,NA,BINARY,NA,TELE,di2,cpmp_onoff,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,121,PUMP-C-000000016,DEVICE - O-000018 - PUMP-C-000000016,Chlorine Pump,chlorine_pump,643,CPMP_ONOFF,CHLORINE PUMP ONOFF,Pump On/Off Status,NA,BINARY,NA,TELE,di2,cpmp_onoff,1,1
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,58,PUMP-M-000000014,DEVICE - O-000018 - PUMP-M-000000014,Main Pump,main_pump,295,PMP_ONOFF,MAIN PUMP ONOFF,Pump On/Off Status,NA,BINARY,NA,TELE,di1,breaker_main,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,101,AIRSP1051M-000000015,DEVICE - O-000018 - AIRSP1051M-000000015,Airsprint-1051M,solar_edge_controller,536,BC,Battery Charge,Battery Charge,NA,DECIMAL,ELEC,TELE,batt_volt,battery_charge_pct,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,101,AIRSP1051M-000000015,DEVICE - O-000018 - AIRSP1051M-000000015,Airsprint-1051M,solar_edge_controller,535,CPS,Controller Power Status,Controller Power Status,NA,BINARY,NA,TELE,pwr_stat,controller_power_status,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,101,AIRSP1051M-000000015,DEVICE - O-000018 - AIRSP1051M-000000015,Airsprint-1051M,solar_edge_controller,534,NS,Network Strength,Network Strength,NA,INT,NA,TELE,rssi,network_strength,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,101,AIRSP1051M-000000015,DEVICE - O-000018 - AIRSP1051M-000000015,Airsprint-1051M,solar_edge_controller,533,TS,TimeStamp,TimeStamp,NA,TS,NA,TELE,ts,ts,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,546,APF,Average Power Factor,Average Power Factor,NA,DECIMAL,ELEC,TELE,s08_r01,pf,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,539,APV,Average Phase Voltage,Average Phase Voltage,V,INT,ELEC,TELE,s01_r01,voltage_l1_v,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,547,FR,Frequency,Frequency,Hz,DECIMAL,ELEC,TELE,s08_r02,frequency_hz,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,545,IB,IB,IB,A,FLOAT,ELEC,TELE,s07_r01,current_a,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,543,IR,IR,IR,A,FLOAT,ELEC,TELE,s05_r01,current_a,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,544,IY,IY,IY,A,FLOAT,ELEC,TELE,s06_r01,current_a,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,549,TKVA,Total kVA,Total kVA,kVA,DECIMAL,ELEC,TELE,s10_r01,tkva,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,550,TKVAR,Total kVAr,Total kVAr,kVAr,DECIMAL,ELEC,TELE,s11_r01,tkvar,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,548,TKW,Total kW,Total kW,kW,DECIMAL,ELEC,TELE,s09_r01,kw,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,551,TKWH,Total Kwh,Total Kwh,kWh,DECIMAL,ELEC,TELE,s12_r01,kwh_today,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,554,VBN,V-B-N,V-B-N,V,INT,ELEC,TELE,s15_r01,vbn,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,542,VBR,VBR,VBR,V,INT,ELEC,TELE,s04_r01,vbr,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,552,VRN,V-R-N,V-R-N,V,INT,ELEC,TELE,s13_r01,vrn,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,540,VRY,VRY,VRY,V,INT,ELEC,TELE,s02_r01,vry,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,541,VYB,VYB,VYB,V,INT,ELEC,TELE,s03_r01,vyb,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,104,MFM-000000015,DEVICE - O-000018 - MFM-000000015,Multi Function Meter,electrical_meter,553,VYN,V-Y-N,V-Y-N,V,INT,ELEC,TELE,s14_r01,vyn,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,103,PUMP-C-000000015,DEVICE - O-000018 - PUMP-C-000000015,Chlorine Pump,chlorine_pump,538,CPMP_ONOFF,CHLORINE PUMP ONOFF,Pump On/Off Status,NA,BINARY,NA,TELE,di2,cpmp_onoff,1,1
16,R0000016,Amdanga Test II,TEST-2,Amdanga Test II,CB15,Amdanga,O-000018,Cherry Blossom School,102,PUMP-M-000000015,DEVICE - O-000018 - PUMP-M-000000015,Main Pump,main_pump,537,PMP_ONOFF,MAIN PUMP ONOFF,Pump On/Off Status,NA,BINARY,NA,TELE,di1,breaker_main,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,29,AIRSP1051M-000000007,DEVICE - PHEWB - AIRSP1051M-000000007,DEVICE - PHEWB - AIRSP1051M-000000007,solar_edge_controller,155,BC,Battery Charge,Battery Charge,NA,DECIMAL,ELEC,TELE,batt_volt,battery_charge_pct,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,29,AIRSP1051M-000000007,DEVICE - PHEWB - AIRSP1051M-000000007,DEVICE - PHEWB - AIRSP1051M-000000007,solar_edge_controller,154,CPS,Controller Power Status,Controller Power Status,NA,BINARY,NA,TELE,pwr_stat,controller_power_status,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,29,AIRSP1051M-000000007,DEVICE - PHEWB - AIRSP1051M-000000007,DEVICE - PHEWB - AIRSP1051M-000000007,solar_edge_controller,153,NS,Network Strength,Network Strength,NA,INT,NA,TELE,rssi,network_strength,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,29,AIRSP1051M-000000007,DEVICE - PHEWB - AIRSP1051M-000000007,DEVICE - PHEWB - AIRSP1051M-000000007,solar_edge_controller,152,TS,TimeStamp,TimeStamp,NA,TS,NA,TELE,ts,ts,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,143,APF,Average Power Factor,Average Power Factor,NA,DECIMAL,ELEC,TELE,s08_r01,pf,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,136,APV,Average Phase Voltage,Average Phase Voltage,V,INT,ELEC,TELE,s01_r01,voltage_l1_v,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,144,FR,Frequency,Frequency,Hz,DECIMAL,ELEC,TELE,s08_r02,frequency_hz,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,142,IB,IB,IB,A,FLOAT,ELEC,TELE,s07_r01,current_a,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,140,IR,IR,IR,A,FLOAT,ELEC,TELE,s05_r01,current_a,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,141,IY,IY,IY,A,FLOAT,ELEC,TELE,s06_r01,current_a,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,146,TKVA,Total kVA,Total kVA,kVA,DECIMAL,ELEC,TELE,s10_r01,tkva,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,147,TKVAR,Total kVAr,Total kVAr,kVAr,DECIMAL,ELEC,TELE,s11_r01,tkvar,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,145,TKW,Total kW,Total kW,kW,DECIMAL,ELEC,TELE,s09_r01,kw,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,148,TKWH,Total Kwh,Total Kwh,kWh,DECIMAL,ELEC,TELE,s12_r01,kwh_today,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,151,VBN,V-B-N,V-B-N,V,INT,ELEC,TELE,s15_r01,vbn,1,1
8,861736076133666,Banchukamari I,ALPBNCK1,Banchukamari,ALP,AlipurDuar,PHEWB,Public Health Engineering,28,MFM-000000007,DEVICE - PHEWB - MFM-000000007,DEVICE - PHEWB - MFM-000000007,electrical_meter,139,VBR,VBR,VBR,V,INT,ELEC,TELE,s04_r01,vbr,1,1
